entryId,entryDataPoint,entryType
1,CSE_203_r0c3_o,ref
2,CSE_203_r0c1_o,ref
3,CSE_203_r3c2_i,ref
4,CSE_203_r0c5_o,ref
5,CSE203_r3c5_demo_o,ref
6,CSE203_r2c4_demo_i,ref
7,CSE_203_r4c2_i,ref
8,CSE_203_r1c1_i,ref
9,CSE_203_r1c3_i,ref
10,CSE_203_r2c3_i,ref
11,CSE_203_r2c1_i,ref
12,CSE_203_r4c3_i,ref
13,CSE203_r1c4_demo_i,ref
14,CSE_203_r0c4_o,ref
15,CSE_203_r3c1_i,ref
16,CSE_203_r0c2_o,ref
17,CSE_203_r3c3_i,ref
18,CSE203_r4c4_demo_i,ref
19,CSE_203_r0c0_o,ref
20,CSE_203_r4c1_i,ref
21,CSE_203_r1c2_i,ref
22,CSE203_r2c5_demo_o,ref
23,CSE203_r3c4_demo_i,ref
24,CSE203_r1c5_demo_o,ref
25,CSE_203_r2c2_i,ref
26,CSE_203_testing_09_o,test
27,CSE_203_testing_05_i,test
28,CSE_203_testing_22_o,test
29,CSE_203_testing_03_i,test
30,CSE_203_testing_07_i,test
31,CSE_203_testing_20_i,test
32,CSE203_Day1_testing_05_i,test
33,CSE203_Day1_testing_07_i,test
34,CSE_203_testing_01_i,test
35,CSE203_Day1_testing_09_i,test
36,CSE203_Day1_testing_01_i,test
37,CSE203_Day1_testing_03_i,test
38,CSE_203_testing_11_o,test
39,CSE_203_testing_17_i,test
40,CSE_203_testing_15_o,test
41,CSE_203_testing_13_o,test
42,CSE_203_testing_19_i,test
43,CSE203_Day1_testing_10_o,test
44,CSE203_Day1_testing_12_o,test
45,CSE203_Day1_testing_14_o,test
46,CSE203_Day1_testing_16_o,test
47,CSE_203_testing_06_i,test
48,CSE_203_testing_21_o,test
49,CSE_203_testing_04_i,test
50,CSE_203_testing_08_i,test
51,CSE203_Day1_testing_04_i,test
52,CSE203_Day1_testing_06_i,test
53,CSE203_Day1_testing_08_i,test
54,CSE_203_testing_02_i,test
55,CSE203_Day1_testing_02_i,test
56,CSE203_Day1_testing_17_o,test
57,CSE_203_testing_10_o,test
58,CSE_203_testing_16_i,test
59,CSE_203_testing_14_o,test
60,CSE_203_testing_12_o,test
61,CSE_203_testing_18_i,test
62,CSE203_Day1_testing_11_o,test
63,CSE203_Day1_testing_13_o,test
64,CSE203_Day1_testing_15_o,test
